Beside the well there was the ruin of an old stone wall. When I came back from my work, the next evening, I saw from some distance away my little price sitting on top of a wall, with his feet dangling. And I heard him say:	在井旁边有一堵残缺的石墙。第二天晚上我工作回来的时候，我远远地看见了小王子耷拉着双腿坐在墙上。我听见他在说话：
"Then you don't remember. This is not the exact spot."	“你怎么不记得了呢？绝不是在这儿。”
Another voice must have answered him, for he replied to it:	大概还有另一个声音在回答他，因为他答着腔说道：
"Yes, yes! It is the right day, but this is not the place."	“没错，没错，日子是对的；但地点不是这里……”
I continued my walk toward the wall. At no time did I see or hear anyone. The little prince, however, replied once again:	我继续朝墙走去。我还是看不到，也听不见任何别人。可是小王子又回答道：
"Exactly. You will see where my track begins, in the sand. You have nothing to do but wait for me there. I shall be there tonight."	“那当然。你会在沙上看到我的脚印是从什么地方开始的。你在那里等着我就行了。今天夜里我去那里。”
I was only twenty metres from the wall, and I still saw nothing.	我离墙约有二十米远，可我依然什么也没有看见。
"You have good poison? You are sure that it will not make me suffer too long?"	“你的毒液管用吗？你保证不会使我长时间地痛苦吗？”
I stopped in my tracks, my heart torn asunder; but still I did not understand.	我焦虑地赶上前去，但我仍然不明白是怎么回事。
"Now go away," said the little prince. "I want to get down."	“现在你去吧，我要下来了！”小王子说。
I dropped my eyes, then, to the foot of the wall-- and I leaped into the air. There before me, facing the little prince, was one of those yellow snakes that take just thirty seconds to bring your life to an end. Even as I was digging into my pocked to get out my revolver I made a running step back. But, at the noise I made, the snake let himself flow easily across the sand like the dying spray of a fountain, and, in no apparent hurry, disappeared, with a light metallic sound, among the stones.	于是，我也朝墙脚下看去，我吓了一跳。就在那里，一条黄蛇直起身子冲着小王子。这种黄蛇半分钟就能结果你的性命。我一面赶紧掏口袋，拔出手枪，一面跑过去。可是一听到我的脚步声，蛇却像一股干涸了的水柱一样，慢慢钻进沙里去。它不慌不忙地在石头的缝隙中钻动着，发出轻轻的金属般的响声。
I reached the wall just in time to catch my little man in my arms; his face was white as snow.	我到达墙边的时候，正好把我的这位小王子接在我的怀抱中。他的脸色雪一样惨白。
I had loosened the golden muffler that he always wore. I had moistened his temples, and had given him some water to drink. And now I did not dare ask him any more questions. He looked at me very gravely, and put his arms around my neck. I felt his heart beating like the heart of a dying bird, shot with someone's rifle…	我解开了他一直戴着的金黄色的围脖。我用水渍湿了他的太阳穴，让他喝了点水。这时，我什么也不敢再问他。他严肃地看着我，用双臂搂着我的脖子。我感到他的心就象一只被枪弹击中而濒于死亡的鸟的心脏一样在跳动着。
"I am glad that you have found what was the matter with your engine," he said. "Now you can go back home--"	他说：“我很高兴，你找到了你的机器所缺少的东西。你不久就可以回家去了……”
I was just coming to tell him that my work had been successful, beyond anything that I had dared to hope.	我正是来告诉他，在没有任何希望的情况下，我成功地完成了修理工作。
I realised clearly that something extraordinary was happening. I was holding him close in my arms as if he were a little child; and yet it seemed to me that he was rushing headlong toward an abyss from which I could do nothing to restrain him…	我清楚地感到发生了某种不寻常的事。我把他当作小孩一样紧紧抱在怀里，可是我感觉到他径直地向着一个无底深渊沉陷下去，我想法拉住他，却怎么也办不到……
"I have your sheep. And I have the sheep's box. And I have the muzzle…"	“我有你画的羊，羊的箱子和羊的嘴套子……”
I waited a long time. I could see that he was reviving little by little.	我等了很长时间，才觉得他身子渐渐暖和起来。
Once again I felt myself frozen by the sense of something irreparable. And I knew that I could not bear the thought of never hearing that laughter any more. For me, it was like a spring of fresh water in the desert.	我再度意识到要发生一件不可弥补的事。我觉得我的心一下子就凉了。这时我才明白：一想到再也不能听到这笑声，我就不能忍受。这笑声对我来说，就好像是沙漠中的甘泉一样。
"Tonight, it will be a year… my star, then, can be found right above the place where I came to the Earth, a year ago…"	“到今天夜里，正好是一年了。我的星球将正好处于我去年降落的那个地方的上空……”
"Little man," I said, "tell me that it is only a bad dream-- this affair of the snake, and the meeting-place, and the star…"	“小家伙，这蛇的事，约会的事，还有星星，这全是一场噩梦吧？”
But he did not answer my plea. He said to me, instead: "The thing that is important is the thing that is not seen…"	但他并不回答我的问题。他对我说：“重要的事，是看不见的……”
"It is just as it is with the flower. If you love a flower that lives on a star, it is sweet to look at the sky at night. All the stars are a-bloom with flowers…"	“这就像花一样。如果你爱上了一朵生长在一颗星星上的花，那么夜间，你看着天空就感到甜蜜愉快。所有的星星上都好像开着花。”
"It is just as it is with the water. Because of the pulley, and the rope, what you gave me to drink was like music. You remember-- how good it was."	“这也就像水一样，由于那辘轳和绳子的缘故，你给我喝的井水好像音乐一样……你记得吗？……这水非常好喝……”
"And at night you will look up at the stars. Where I live everything is so small that I cannot show you where my star is to be found. It is better, like that. My star will just be one of the stars, for you. And so you will love to watch all the stars in the heavens… they will all be your friends. And, besides, I am going to make you a present…"	“夜晚，你抬头望着星星，我的那颗太小了，我无法给你指出我的那颗星星是在哪里。这样倒更好。你可以认为我的那颗星星就在这些星星之中。那么，所有的星星，你都会喜欢看的……这些星星都将成为你的朋友。而且，我还要给你一件礼物……”
